text,emotion,language
need...Please contact me for more information. You can reach me at [EMAIL] or 000-000-0000 anytime between 00am-0pm M-F. You can also visit my web site at [URL] Thank you. [WITH] at [LOCATION],joy,en
"wait, wait Devour you ... (0x) Live, live Wait for you I want to live Wait for you You want to wait . in Brasília, Brazil",joy,en
"[PHOTO] Thank you so much [PERSON] 'S TRAINER... Gathering(Exclusive Party) for choosing Goygoy's Place tomorrow February 0, 0000, Saturday from 0PM to [PERSON] .... @ Goygoy's Disco, 0nd Floor.... Kita Kits.... [WITH] at [LOCATION]",joy,en
sakta hai wo [PERSON] me tumse zyada acha ho. #with_these_beautiful_sayins_Allah_Subhanawa_ta'aala #i_wish_evry0_a_blessd_day!!! #may_d_lord_keep_His_blessings_with_us....,joy,en
the best products in the world! You are absolutely inspirational sir! Looking forward to that six flags trip! [WITH],joy,en
[PHOTO] Now myself and my feeling is lonely nas,sadness,en
.ly/Jorr_gi,joy,en
[PERSON] this preview... [PHOTO] A preview of this coming NBA season. [PERSON] Love and [PERSON] out [PERSON] . #SpanishBull #KingJames #KLove #CavsNation #ChicagoBaby,anticipation,en
and compare [PERSON] as a host hon [PERSON] ak asa live talk show ho ga [PERSON] k tamaam users full enjoy [PERSON] gy [PERSON] [WITH],anticipation,en
"free all u xe.....00 , 00 , 0000 [PHOTO] Good night khab, Help lyk & cmt pong.. [WITH].",joy,en
touched the lives of many students at Lawrence High/Junior High. Rest in peace Officer [PERSON] ,sadness,en
This is how we park :D [PHOTO] This is how we park the jeeps at the bank :P with [PERSON] and [PERSON] .,anticipation,en
invite [PERSON] /davide at [LOCATION],anticipation,en
"questions are to the manager? What are you paid to do? What would the health department think of that? Is it acceptable to tell a PAID CUSTOMER to clean it themselves? Your understaffed, but sent 0 employees on break!? How could have she handled this situation the right way? with [PERSON] ...",anger,en
wohoooooo. new dealership is in progress. bitter sweet the test track is gone [PHOTO] FINALLY broke ground for our new dealership expansion! at [LOCATION],anticipation,en
0000 The place to be tonight [WITH],joy,en
Shit wild dogs [PHOTO] Well got smokey to the dog hospital they going to keep him over nite he got to have some work done on his head and neck plz pray for my best friend,sadness,en
[PHOTO] PLAYOFFS CHIEFS. GO CHIEFSSSSSSSSS,joy,en
and gratitude and being a panelist on intergenerational cross cultural communications in today's global economy/classroom. at [LOCATION],anticipation,en
", and that everything you do is completely WILL-ABLE to your kiddos from day 0. With products that truly change lives, the foundation is set; just root yourself in care and love and the rest will follow. We’re going to have a blast girl! [WITH]",anticipation,en
"cards, cookbooks, aprons, cooking utensils, free food products, etc. I have definitely been in my happy place this week! I can hardly wait till next year's Iowa State Fair!",anticipation,en
"work!!! This shows what focus, enthusiasm, and perseverance can do! WONDERFUL JOB! I am so psyched by your accomplishment today! Keep up the good work!!!!!!!!!",joy,en
"=0&source=00&ref=bookmark [URL] For more information about this animal, call: Moreno Valley Animal Services at (000) 000-0000 Ask for information about animal ID number [PERSON] [WITH]",anticipation,en
love u & I miss u sooooooo much with [PERSON] and [PERSON] ,sadness,en
can see him again! Allah bless him! [PERSON] . All my fb frnds and honourable public on fb are very humbly requested to please pray for blessing of him by Allah.,sadness,en
will be a recital at Columbia University in Manhattan.,anticipation,en
", love, and of course, a learning journey with a dash of fun filled activities! [PERSON] UP YOUR RAMADHAN!!",anticipation,en
"[PHOTO] FYI... 00 days left and Even if you have reserved you spot in the pool already. please.. please TEXT [PERSON] and your full name to (000) 000-0000 some spots still available, Thx to the many of you whom have reserved your spot so far! [WITH] at [LOCATION]",anticipation,en
[PHOTO] My photo has been selected as,anticipation,en
[PHOTO] Come on Sox!! It's 00 out I'm enjoying it!!! 0 outs and I can warm up!,anticipation,en
[PHOTO] 00 may Se pehle aapka Results kiya kehta hai........? [PERSON] me aane bali humari neyi Government [PERSON] ....................? A:-BJP B:-Congres [PERSON] final [PERSON] friends only 00 days remaining to Govt. Results opening. Come on Comments fast. (Yours Wellcome) with Deep...,anticipation,en
"[PHOTO] Blue sky and blue sea, only horizon in between...wonderful view!",joy,en
"HOLD ON A LITTLE BIT MORE, so dat u'ld av eaten the fruits of ur labour. Miss u soooo much pappa . MY SWEET BABYYYYYY..........",sadness,en
"[PHOTO] It is a pleasure to see the decent dressing sense of the cheerleaders also da... I am shocked that [PERSON] , being an Iyer aathu person didn't do it.. But better late than never. All the girls are so homely da.. Just like [PERSON] <0 ~BruceWayne~",joy,en
Terrorist killed! [PHOTO] A mother found today hugging her child under their house's rubble. I can't even imagine what kind of horror they've been through :(,sadness,en
attention pls [PHOTO] Plz dont make cal and dont use mobile while charging it can blast any time. Please take care of your self.... [WITH]. i like my self,sadness,en
[PHOTO] Hai friends [WITH].,joy,en
[PHOTO] EEIIIIII FRESH AIR FORCE [WITH] at [LOCATION],joy,en
[PHOTO] Amazing final dress rehearsal for tonight's premiere concert at Grant Park Music Festival with [PERSON] and the Grant Park Orchestra!!! Keep [PERSON] '!!! with [PERSON] . — with [PERSON] and [PERSON] .,joy,en
This will be a blast......also a special guest singer to do a duet [WITH] at [LOCATION],anticipation,en
[PHOTO] Freedom for Catalonia. We want a Catalan State.We want to vote,joy,en
off at either SAFE location!!!! with [PERSON] ,anticipation,en
[PERSON] to my fb friends ..mmm gonna bake a cake.. wish me luck on it. its been a while... an fix some outher stuff..morn n to my helper.. THANK YOU .....,joy,en
[PHOTO] Owwww.... Yeah!!!! Macallan 0000-0000... Great way to celebrate the launch of our new website ;-),joy,en
. Please do add your word and don't forget or neglect to copy.,anticipation,en
[PHOTO] Happy diwali to all my near n dear frnds.......:) [WITH].,joy,en
never got that chance,sadness,en
dies having never really lived.” --------------One of my favourite quotes is by the Dalai Lama!!!! As it is more than enough to inspire anyone to travel and explore the wonderful world we live in and live every moment of life . @Zostel & #BestInternshipEver...,joy,en
..... [PERSON] ,joy,en
[PHOTO] My new kitten his name is [PERSON] ,joy,en
"FAITH! I CALL IT DONE! AMEN. [PERSON] T. [PERSON] LOVING YOU ESPECIALLY Y-O-U . [PHOTO] JUNE 00, 0000 We are smilin. [PERSON] T. [PERSON] LOVING YOU ESPECIALLY Y-O-U...",anticipation,en
"know from Patchwork that blind cats can adjust and live good lives, but we are mostly worried about the seizures and brain trauma. Please send positive energy, prayers, etc. to this sweet baby to help his brain and spirit heal. with [PERSON] and [PERSON] ",anticipation,en
[PHOTO] 000 kids invaded Park Ten Lanes this morning. Lots of work but we are glad to have them here,joy,en
"under 00 free Tutn Up doggs AND Turn Up Burgers $$$$ giveaways, face paint, live music,games,pictures and more Countdown starts now!!! [WITH]",anticipation,en
"well done [PERSON] ... another 0 lb lost ..... [PERSON] love a bit of [PERSON] !!!! Stock available and 0 day trials for those of you that want to have a go and see if it suits you ... 00000000000 ,,, join the healthy revolution",joy,en
"MAHARADJAH TABUNAWAY DESCENDANTS COUNCIL OF THE PHILIPPINES, INC. - MTDCP",joy,en
things off things what wrong with me and my Godmother. I feel all I have is God,sadness,en
"Donation : East West Bank, Valencia City Branch. 000000000000 Contact number: Mr. [PERSON] 00000000000 for more information. Thank you all so much and we do hope to see you at the concert. God bless all the good Samaritans. at [LOCATION]",sadness,en
Happy birthday weekend! I love you! with [PERSON] ,joy,en
[PHOTO] *AOA* FLYDUBAI - KARACHI JEDDAH ONEWAY TICKETS AVAILABLE ON 0ND MAY 0000 - FLIGHT # FZ000/FZ000 (SHORT CONNECTION) FEW SEATS LEFT ! HURRY UP TO CONTACT AT 00000000000.,anticipation,en
"[PERSON] , [PERSON] to apne aap mil jayenge, waqt hona chahiye kisi ko [PERSON] , bahane to apne aap hee mil jayenge. If you like the best collections happy valentine day 0000 sms, messages and best wishes for all the love couples, and don’t forget to share it with your loving ones. with [PERSON] ...",joy,en
[PHOTO] German kings of the world [WITH].,joy,en
[PHOTO] 0)SEEing is Believing 0)Bertyalah kpd yg 'AHLI' 0)Be BOLD &DETERMINED [WITH].,joy,en
"[PHOTO] I'm now officialy signed at Spinnin' Records, the biggest dancelabel in the world! ([PERSON] . MusicAllStars Management and MusicAllStars Publishing)! This is the greatest step in my career so far and you can expect a lot of me as a Spinnin' artist!",joy,en
[PHOTO] Ma sweat is always TRYIN to say somethin to ME.. at [LOCATION],joy,en
[PHOTO] MASTER'S ACTION BEGINS.... [WITH].,anticipation,en
[PHOTO] I burned a white candle and wrote a prayer for BURL FORD may the Goddess let his soul rest in peace,sadness,en
[PHOTO] New Morgan Taylor colors for you to choose from. Here is,anticipation,en
[PHOTO] But it so pretty but I'm sick of it to!!! ,anger,en
[PHOTO] SON OF MARS!! with [PERSON] and [PERSON] .,anticipation,en
[PHOTO] me with Kuna [PERSON] garu with [PERSON] .,joy,en
". www.heidiemerson.myrandf.biz [PERSON] , Level V Leader 000-000-0000 [WITH]",anticipation,en
"(nuns) to preserve his teachings for posterity.However, it was only [PERSON] , realising the poor status of the religion in his country, desired fresh efforts by a delegation from India. ~~~~~~~~Lakshman Ambedkar~~~~~~~~~ [WITH]",joy,en
. Hosted by [PERSON] ( X-mens Mystique) Airing Aug 0 0pm. And guess who else is on it! [URL] [WITH],anticipation,en
[PHOTO] What are [PERSON] doing? [PERSON] u [PERSON] .... :(:(:( [WITH].,sadness,en
"[PHOTO] Attention all campers, presidents, leaders, counselors.. some of our local churches still don't have camp transportation. If your church is renting a van, a bus or even cars and you have extra room for more teens, please let us know. [WITH] at...",anticipation,en
[PHOTO] Footage of last night's game in case you all missed it. ,joy,en
[PHOTO] Big brake for [PERSON] ,joy,en
[PHOTO] 0NIGHT 0NIGHT 0NIGHT DON'T WAIT IN THAT LONG LINE TONIGHT. COME SEE ME DRINK SPECIAL IS CRAZY. [WITH].,anticipation,en
[PHOTO] Spread the Christmas cheer... [WITH].,anticipation,en
kiosks as well with this patriotic card design! [PHOTO] Here is the JW Photo Kiosk design for Mandan's Independence Day Parade & Street Festival with [PERSON] ,anticipation,en
[PHOTO] 00-Sep-00 Super Anti Oxidant Q00 超级抗氧化剂-[PERSON] (GDIR) Career Sharing- [PERSON] (DIR) How to Leverage Resources- ABC Rules 借力， 省力， 不费力 （ABC 法则）- GanFS (GDIR) Summary Meeting - [PERSON] ([PERSON] ) MC-June [PERSON] with [PERSON] and [PERSON] Poh.,anticipation,en
my new [PERSON] name RP0 coors light will be there giving away lift tickets also from 00 to 00 [WITH],anticipation,en
[PHOTO] Lord [PERSON] with [PERSON] .,joy,en
"park, grass patch and almost anywhere you can think about. There's too much of them.. seeing kampung Melayu [PERSON] turns to pinoy picnic port..I missed the old singapore.",sadness,en
[PHOTO] oh ya Yup Yup ..... No Doubt <0 that :) Me to You Crazy s.o.b,joy,en
[PERSON] Jadhav [PHOTO] HAPPY HOLI ....SAVE WATER ...USE NATURAL COLORS.... [WITH].,anticipation,en
", it’s used to calibrate satellites. at [LOCATION]",anticipation,en
"the smell of yen are awesome, the reason why!!! hahahaha....[PERSON] , promise. hahahaha... with [PERSON] ",joy,en
been busy with your construction business but lets not forget you are one of the originals that kicked off the Save The Davey Lopes Pool campaign and for that [LOCATION],joy,en
"THE FINICKY FELINE & FIDO, LLC",joy,en
[PHOTO] Hes back with [PERSON] and [PERSON] .,joy,en
. SEHWAG IS UNSTOPABLE.. [WITH]. my friends is my world...,anticipation,en
[PHOTO] Catch #Me And Djhuache Mix Mixing Live Tomorrow Night At [PERSON] #NightClub Ladies Go In Free B0 00Pm,anticipation,en
"Fabulous day! Except missing my [PERSON] and [PERSON] and my baby daddy! BUT all are coming for dinner at Mudcats! (well, [PERSON] said he couldn't get here by 0. :( [PHOTO] Beach day birthday for [PERSON] ! This is before the storm sent us running! . [PERSON] 0000",joy,en
lord at [PERSON] .... <0 <0 #MEDIACREATIONPRODUCTIONS #DMCFAMILY #TEAMDAE [WITH],anticipation,en
"and pink undertones, Radiant Orchid emanates great joy, love and health. PURPLE. Oh yeah, i'm loving you already 0000. with Carleen Abangan Tagum and [PERSON] ",anticipation,en
[PHOTO] So unhappy... my facebook been hacked by someone...,sadness,en
conceive. I believe. I achieve. #ispforever,anticipation,en
Lol [PHOTO] Not too much to ask is it?! You can keep yer wine and dine bullshit! Haha! ,anticipation,en
"To believe in yourself and to follow your dreams, to have goals in life and a drive to succeed, and to surround yourself with the things and the people that make you happy - this is success!!!! Remember to always Dream Big",joy,en
[PHOTO] Anyone with a Jeep needs a good looking,anticipation,en
Bling Bling that's how my Unce roll [PERSON] [PHOTO] You will never guess what happened to me today? [WITH] at [LOCATION],anticipation,en
FOR THE SCARIEST HALLOWEEN PARTY OF KING WEST THIS THURSDAY INSIDE Cobra Toronto! <<< VIP BOOTHS ARE COMPLETE SOLD OUT NOWWWWWWWWW! >>> ONLY A COUPLE OF STAND UP TABLES REMAIN! FOR BOTTLE SERVICE & GUEST LIST HIT ME UP DIRECTLY @ 000.000.0000 OR BBM: 000CFDB0 with Saham...,fear,en
[PHOTO] This is Real pic [PERSON] ..... He sucided bcoz her [PERSON] cheated him.......[PERSON] hai aap sabse...... Kya pyaar mai aisa karna thik hai???? [WITH].,sadness,en
"Interview :Mon, April 00th & Tue, April 00th 0000 0 Sessions : 00AM -0PM and 0PM-0PM Bring your CV and Your best personalities! At Domain Senayan City B0For more info +000000000000@OPCO_ID at [LOCATION]",anticipation,en
[PHOTO] Did I mention I HATE autocorrect?? No my kid's name is not larva!!! Nor is my friend a lieutenant! ,anger,en
the ethereal tones of the Swedish nyckelharpa and violin played by [PERSON] . + Support Act: ☆ KIHAYA BLUES ☆ [PERSON] from Tanzania + DJ Fenomeno Show (Open The Gate Sound) Join the event: [URL] [WITH] at [LOCATION],anticipation,en
"Well... I guess it's my first publication x) [PHOTO] Tomorrow night I will publish a fun interview of 00 questions I was made by [PERSON] and [PERSON] , administrators of paggina",joy,en
breaking news ! i am proud to say that i am [PERSON] aunt my sister had her baby to night and it all good with my sister and her litte m he was 0 pounds and 00ozs,anticipation,en
So a Navy Veteran checks into alcohol detox to get his life straightened out and this is what happens! TRF~III% WHAT AN OUTRAGE! THIS is how the state of Connecticut says,anger,en
[PHOTO] Happy Independence Day for All Sri Lankan ... [WITH] at [LOCATION],joy,en
message me to be on my guestlist!!!!!***** [WITH],joy,en
for letting me service you and have a chance to be friends. so please let me know ASAP or i will make my choice.,joy,en
[PHOTO] getting ready to perform Solo for Star 000.0 at [LOCATION],joy,en
"on sale now: [URL] more details: [URL] Have a great week everyone, Much Love <0 [WITH] in [LOCATION]",anticipation,en
uetians,sadness,en
"[PERSON] of 0000, your behinds the scenes work crew preparing for our upcoming reunion on Sept. 0th in Snohomish, has prepared your event schedule for a sneak peak. 00 days! I keep looking for [PERSON] in our yearbook, Anyone else been able to find him????? LOL!",anticipation,en
"[PHOTO] Remember me, and I'll be there. When you feel lost somewhere. And I know with just one magic touch, it can all reappear. #G0BRememberMe i'm so exited hashtag for tonight",anticipation,en
[PHOTO] This is it folks! Absolute last chance to rage mont Mont Tremblant [WITH].,anticipation,en
"[PHOTO] Thank u so mch sister [PERSON] , #USA#California super like... & insan te Cindy-Rick Santos salamat sa victoria secret body cream..from me, [PERSON] Buendia & kuya [PERSON] ..God bless! with [PERSON] and [PERSON] ...",joy,en
Get ready DAVAO!!! =) [PHOTO] Touchdown Davao w/ Dubai's,joy,en
going to be AMAZING!!! — [WITH],anticipation,en
"spoken over all here this Night. The Conference is FREE! The only night that cost money is the Women's Banquet. Get your tickets quick, because they are selling out. No tickets will be sold at door. [WITH] at [LOCATION]",anticipation,en
